Key,Description,Standard,RUS
SAY.Pentagram.35.,,"THATS' IT!\nNow, draw the sacred pentagram, and place the candles on the edges of the forsaken star!",
SAY.Pentagram.37.,,The Lord Demands it! The Lord is Coming!,
SAY.Start.22.,,Focus now!,
SAY.Start.24.,,"Get the chalk and candles from storage, lighter from the kitchen, and DON'T forget the lighter! ",
SAY.Start.35.,,The storage room is right across the corridor!,
SAY.Start.25.,,"Then, and ONLY then get back to me, and we'll begin the ritual.",
SAY.Dialogue.3.,,Karen: What was that? What is happening?,
SAY.Dialogue.5.,,Everything is back to normal...,
SAY.Dialogue.4.,,I should go and pick up that phone.,
SAY.Flowchart.7.,,What are these wailings? What is happening? What am i....,
SAY.Flowchart.32.,,"Man in the phone: Mam? Hello mam, can you hear me?",
SAY.Flowchart.33.,,"You stopped responding to my calls a week ago, is everything okay?",
SAY.Flowchart.52.,,I want to see my family again.,
SAY.Blackout 2 1.2.,,I should go down to the garage and restart the power.,
SAY.Blackout 2 1.1.,,Karen: Oh no! I think the power went out because of the overload!,
